City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
35,Sassandra,CI,75.31,broken clouds,4.95,-6.0833,la terrasse
36,Parit Buntar,MY,81.95,broken clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
39,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
44,Jamestown,US,76.59,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Kharan,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
53,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
56,Enshi,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
61,Guantanamo,CU,87.37,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
66,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
72,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
75,Karak,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
83,Port-Gentil,GA,75.06,light rain,-0.7193,8.7815,Fengshui Residence
87,Todos Santos,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
88,Kavieng,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
91,Saint-Louis,SN,83.52,scattered clouds,16.3333,-15.0,
92,Westport,US,79.86,clear sky,41.1415,-73.3579,The Westport Inn
93,Hithadhoo,MV,80.92,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Dasoguz,TM,77.11,clear sky,41.8363,59.9666,Ташауз Отел
104,Huadian,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
111,Port Blair,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Cabo San Lucas,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
133,Mataram,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
134,Puerto Escondido,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
138,Katsuura,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
142,Laem Sing,TH,81.57,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
144,Neiba,DO,79.29,scattered clouds,18.5,-71.4167,Ángel David Cuevas Mendez
145,Goderich,CA,76.21,few clouds,43.7501,-81.7165,Harmony Inn
151,Kokopo,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
159,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
164,Panzhihua,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
177,Paradwip,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
196,Xining,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
197,Matara,LK,77.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
199,San Patricio,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
203,Kirakira,SB,84.49,overcast clouds,-10.4544,161.9205,SanBiz Lodge
211,Ibra,OM,88.27,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
213,Utiroa,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
214,Ryotsu,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
216,Bengkulu,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
219,Phon,TH,81.57,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
223,Nindiri,NI,77.16,overcast clouds,12.0039,-86.1213,Casa Vega Hostal
225,Along,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Harper,LR,76.23,broken clouds,4.375,-7.7169,Screensaver
232,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
235,Namatanai,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
249,Progreso,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
250,Naduvattam,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
254,Kalmunai,LK,77.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
258,Korla,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
263,Teacapan,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
269,San Quintin,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
