City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
3,Palora,EC,68.05,light rain,-1.7,-77.9333,Rancho grande
4,Yetkul,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
5,Port Alfred,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
9,Ponta Do Sol,PT,74.01,broken clouds,32.6667,-17.1,Hotel do Campo
11,Falmouth,GB,59.9,scattered clouds,50.1544,-5.0711,The Falmouth Hotel
12,Sivaki,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
13,Severo-Kurilsk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
14,Ambilobe,MG,68.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
16,Port Elizabeth,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
19,Nsanje,MW,64.71,clear sky,-16.92,35.262,Nsanje Discovery Lodge
20,Busselton,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
21,Carnarvon,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
22,Mortka,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
23,Saint-Philippe,RE,67.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Sebeta,ET,56.34,light rain,8.9167,38.6167,Alem Hotel And Milto Cinema
25,Vila Velha,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
26,Moba,CN,62.06,overcast clouds,33.2288,105.0179,
27,Tumannyy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
28,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Saldanha,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
31,Roald,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
32,Amderma,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
33,Panjakent,TJ,73.99,clear sky,39.4952,67.6093,Salom Hostel
34,Ribeira Grande,PT,69.91,few clouds,38.5167,-28.7,Quinta da Meia Eira
35,Sassandra,CI,75.31,broken clouds,4.95,-6.0833,la terrasse
36,Parit Buntar,MY,81.95,broken clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
38,Hervey Bay,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
39,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
41,Beloha,MG,68.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
43,Batemans Bay,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
44,Jamestown,US,76.59,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,East London,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
46,Taolanaro,MG,68.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
47,Kharan,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
48,Poum,NC,70.56,overcast clouds,-20.2333,164.0167,Gîte kajeon
49,Tiksi,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
51,Vaini,TO,70.11,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Marawi,PH,69.66,light rain,7.9986,124.2928,Derogongan Residence
53,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
54,Ponta Do Sol,PT,69.91,few clouds,38.5167,-28.7,Quinta da Meia Eira
55,Kyra,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
56,Enshi,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
58,Chuy,UY,61.74,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
59,Flinders,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
61,Guantanamo,CU,87.37,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
62,Airai,TL,64.36,scattered clouds,-8.9266,125.4092,Juvinal Martin
66,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
67,Janauba,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
68,Port Lincoln,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
70,Geraldton,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
71,Carutapera,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
72,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
73,Ulaanbaatar,MN,55.53,smoke,47.9077,106.8832,The Blue Sky Hotel and Tower
74,Bredasdorp,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
75,Karak,PK,83.44,few clouds,28.5833,65.4167,Dil Aram Bangla
76,Santiago De Compostela,ES,61.16,few clouds,42.8805,-8.5457,Hotel Cidade de Compostela
77,Faanui,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
78,Nikolskoye,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
79,Xuddur,SO,69.96,overcast clouds,4.1213,43.8894,Banjanay Hotel
80,Provideniya,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
82,San Cristobal,EC,68.05,light rain,-1.7,-77.9333,Rancho grande
83,Port-Gentil,GA,75.06,light rain,-0.7193,8.7815,Fengshui Residence
84,New Norfolk,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
85,Dalby,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
87,Todos Santos,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
88,Kavieng,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
89,Sentyabrskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
90,Kruisfontein,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
91,Saint-Louis,SN,83.52,scattered clouds,16.3333,-15.0,
92,Westport,US,79.86,clear sky,41.1415,-73.3579,The Westport Inn
93,Hithadhoo,MV,80.92,overcast clouds,-0.6,73.0833,Scoop Guest House
94,Mildura,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
96,Conceicao Da Barra,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
97,Chistogorskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
98,Udachnyy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
99,Sangar,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
101,Barcelos,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
102,Nalut,LY,91.27,clear sky,30.3333,10.85,
103,Dasoguz,TM,77.11,clear sky,41.8363,59.9666,Ташауз Отел
104,Huadian,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
105,Shelopugino,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
106,Praia Da Vitoria,PT,69.91,few clouds,38.5167,-28.7,Quinta da Meia Eira
107,Touros,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
108,Mnogovershinnyy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
109,Mataura,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
111,Port Blair,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Saint-Joseph,RE,67.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,Cabo San Lucas,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
114,Arraial Do Cabo,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
115,Tutoia,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
116,Saskylakh,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
117,Puerto Ayora,EC,68.05,light rain,-1.7,-77.9333,Rancho grande
118,Inirida,CO,72.99,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
120,Hobart,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
121,Faya,SA,63.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
124,Atuona,PF,74.5,clear sky,-23.1203,-134.9692,People ThankYou
126,Hobyo,SO,69.96,overcast clouds,4.1213,43.8894,Banjanay Hotel
127,Albany,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
128,Upington,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
129,Karratha,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
130,Morant Bay,GB,59.9,scattered clouds,50.1544,-5.0711,The Falmouth Hotel
131,Kadykchan,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
133,Mataram,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
134,Puerto Escondido,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
136,Khani,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
137,Muros,ES,61.16,few clouds,42.8805,-8.5457,Hotel Cidade de Compostela
138,Katsuura,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
139,Bichura,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
140,Cape Town,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
141,Belushya Guba,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
142,Laem Sing,TH,81.57,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
143,Ngukurr,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
144,Neiba,DO,79.29,scattered clouds,18.5,-71.4167,Ángel David Cuevas Mendez
145,Goderich,CA,76.21,few clouds,43.7501,-81.7165,Harmony Inn
146,Vestmannaeyjar,IS,54.23,overcast clouds,63.4427,-20.2734,Glamping & Camping
147,Santarem,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
148,Salinopolis,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
149,Codrington,AU,50.58,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
150,Khatanga,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
151,Kokopo,PG,83.08,moderate rain,-2.5744,150.7967,Nusa Island Retreat
152,Innisfail,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
153,Hermanus,ZA,58.87,broken clouds,-33.5906,26.891,The Halyards Hotel
155,Cherskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
156,Namsos,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
158,Tsihombe,MG,68.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
159,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
160,Broken Hill,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
162,Chokurdakh,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
163,Okhotsk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
164,Panzhihua,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
165,Souillac,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Krasnoselkup,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
168,Sinkat,PH,69.66,light rain,7.9986,124.2928,Derogongan Residence
169,Stornoway,GB,58.96,broken clouds,58.2093,-6.3865,Caladh Inn
173,Berezhany,UA,58.71,clear sky,49.45,24.9333,Motel Mlyn - Nadia
174,Nelson Bay,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
176,Otta,NO,66.25,overcast clouds,62.5833,6.1333,Flem Cabins
177,Paradwip,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
178,Sao Filipe,PT,74.01,broken clouds,32.6667,-17.1,Hotel do Campo
179,Dikson,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
182,Port Augusta,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
184,Oktyabrskiy,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
185,Steinheim,DE,62.2,scattered clouds,51.8707,9.0914,H&E Apartments
186,Yeniseysk,RU,53.58,clear sky,54.8221,61.588,Баден-Баден Термы Еткуль
187,Rio Grande,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
189,Esperance,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
192,Erzincan,TR,61.9,clear sky,39.75,39.5,Eriza Boutique Hotel
196,Xining,CN,75.51,moderate rain,30.3,109.4833,Moevenpick Enshi
197,Matara,LK,77.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
198,Agadez,NE,91.29,clear sky,19.75,10.25,
199,San Patricio,MX,89.4,broken clouds,23.45,-110.2167,Hotel California Todos Santos
200,Hofn,IS,54.23,overcast clouds,63.4427,-20.2734,Glamping & Camping
201,Sao Felix Do Xingu,BR,64.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
