City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
1,Upernavik,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,74.5,77,10,13.44,clear sky
3,Palora,EC,-1.7,-77.9333,68.05,88,82,3.49,light rain
4,Yetkul,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
5,Port Alfred,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
6,Tuktoyaktuk,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,31.66,100,90,36.82,heavy snow
8,Punta Arenas,CL,-53.15,-70.9167,35.71,75,0,23.02,clear sky
9,Ponta Do Sol,PT,32.6667,-17.1,74.01,87,83,5.91,broken clouds
10,Huntsville,CA,69.4541,-133.0374,41.85,75,98,12.53,overcast clouds
11,Falmouth,GB,50.1544,-5.0711,59.9,100,45,4,scattered clouds
12,Sivaki,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
13,Severo-Kurilsk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
14,Ambilobe,MG,-13.2,49.05,68.41,85,70,1.99,broken clouds
15,Ilulissat,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
16,Port Elizabeth,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
17,Eloy,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
18,Illoqqortoormiut,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
19,Nsanje,MW,-16.92,35.262,64.71,80,0,2.64,clear sky
20,Busselton,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
21,Carnarvon,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
22,Mortka,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,67.55,81,39,12.19,light rain
24,Sebeta,ET,8.9167,38.6167,56.34,90,97,2.77,light rain
25,Vila Velha,BR,-20.3297,-40.2925,64.35,100,75,4.61,broken clouds
26,Moba,CN,33.2288,105.0179,62.06,94,100,4.45,overcast clouds
27,Tumannyy,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
