City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-08-07 06:41:47,-33.65,115.3333,63.09,80,100,21.14
1,Norman Wells,CA,2021-08-07 06:41:47,65.282,-126.8329,48.24,71,90,9.22
2,Robertsport,LR,2021-08-07 06:41:48,6.7533,-11.3686,77.14,76,100,4.14
3,Mataura,NZ,2021-08-07 06:41:48,-46.1927,168.8643,39.47,97,100,2.3
4,Saskylakh,RU,2021-08-07 06:41:49,71.9167,114.0833,51.66,68,97,2.51
5,Albany,US,2021-08-07 06:41:49,42.6001,-73.9662,67.78,88,100,2.91
6,Punta Arenas,CL,2021-08-07 06:41:50,-53.15,-70.9167,32.11,86,40,13.8
7,Motala,SE,2021-08-07 06:41:50,58.5371,15.0365,60.58,68,100,10.36
8,Port Alfred,ZA,2021-08-07 06:41:50,-33.5906,26.891,59.77,74,2,3.24
9,Saint-Philippe,RE,2021-08-07 06:41:51,-21.3585,55.7679,74.79,70,38,11.48
10,Esperance,AU,2021-08-07 06:41:52,-33.8667,121.9,73.24,49,0,12.5
11,Castro,BR,2021-08-07 06:41:52,-24.7911,-50.0119,53.87,96,99,7.11
12,Ushuaia,AR,2021-08-07 06:41:33,-54.8,-68.3,31.66,86,90,16.11
13,Atuona,PF,2021-08-07 06:41:53,-9.8,-139.0333,77.94,81,66,20.62
14,Mina,MX,2021-08-07 06:41:53,26.0011,-100.5299,77.25,77,71,10.27
15,Alappuzha,IN,2021-08-07 06:41:54,9.49,76.3264,79.68,86,100,13.91
16,Guerrero Negro,MX,2021-08-07 06:41:54,27.9769,-114.0611,71.58,80,0,9.17
17,Shelburne,CA,2021-08-07 06:41:55,44.0787,-80.2041,67.89,94,24,8.59
18,Tranas,SE,2021-08-07 06:41:55,58.0372,14.9782,60.03,71,100,7.67
19,Mahebourg,MU,2021-08-07 06:41:55,-20.4081,57.7,74.25,60,75,12.66
20,Cape Town,ZA,2021-08-07 06:41:01,-33.9258,18.4232,48.61,93,90,2.3
21,Bengkulu,ID,2021-08-07 06:37:00,-3.8004,102.2655,85.6,68,30,7.63
22,Aksarka,RU,2021-08-07 06:41:56,66.5606,67.7975,70.88,60,100,4.97
23,Paradise,US,2021-08-07 06:41:57,36.0972,-115.1467,93.7,8,1,3.44
24,Griffith,US,2021-08-07 06:41:57,41.5284,-87.4237,70.02,94,1,0.0
25,Buin,CL,2021-08-07 06:41:58,-33.7333,-70.75,46.44,94,32,0.94
26,Jacqueville,CI,2021-08-07 06:41:58,5.2052,-4.4146,76.91,89,99,9.86
